"Date","ZMLP.Open","ZMLP.High","ZMLP.Low","ZMLP.Close","ZMLP.Volume","ZMLP.Adjusted"
2015-10-05,26.104,26.413,26.104,23.07,14100,20.158587
2015-10-06,26.471,27.123,26.436,23.459999,14700,20.499369
2015-10-07,27.226,27.443,26.963,23.700001,15300,20.70908
2015-10-08,27.031,27.798,27.031,24.23,11100,21.172194
2015-10-09,27.924,28.038,27.592,24.129999,17500,21.084816
2015-10-12,27.764,27.764,27.146,23.76,19500,20.761507
2015-10-13,27.214,27.237,26.745,23.370001,7100,20.420729
2015-10-14,26.917,27.054,26.802,23.639999,5000,20.656654
2015-10-15,27.123,27.386,26.768,23.860001,19400,20.84889
2015-10-16,27.157,27.592,27.157,24.030001,12400,20.997435
2015-10-19,27.501,27.501,26.986,23.700001,7200,20.70908
2015-10-20,27.203,27.272,27.043,23.83,58300,20.822674
2015-10-21,26.917,27.26,26.905,23.620001,7000,20.639177
2015-10-22,26.986,26.986,26.425,23.34,27200,20.394512
2015-10-23,26.825,26.825,26.333,23.1,16100,20.184801
2015-10-26,26.402,26.402,26.036,22.76,31300,19.887711
2015-10-27,25.715,25.818,25.292,22.219999,13200,19.415854
2015-10-28,25.475,26.276,25.475,22.809999,11000,19.931398
2015-10-29,26.207,26.539,26.207,23.190001,25300,20.263445
2015-10-30,26.539,26.814,26.242,23.299999,25200,20.35956
2015-11-02,26.551,27.031,26.551,23.459999,23800,20.499369
2015-11-03,27.146,27.249,26.917,23.809999,20200,20.805201
2015-11-04,27.306,27.306,26.39,23.190001,14500,20.263445
2015-11-05,26.287,26.471,25.99,22.73,40800,19.861494
2015-11-06,25.887,26.081,25.681,22.440001,11900,19.608091
2015-11-09,25.383,25.715,25.246,22.059999,10600,19.276047
2015-11-10,25.074,25.406,25.063,21.9,7000,19.13624
2015-11-11,25.063,25.246,24.479,21.549999,11400,18.830408
2015-11-12,24.525,24.525,23.964,20.969999,45600,18.323606
