"Date","JNK.Open","JNK.High","JNK.Low","JNK.Close","JNK.Volume","JNK.Adjusted"
2016-10-03,38.121,38.204,38.079,36.540001,14667700,34.967339
2016-10-04,38.204,38.246,38.079,36.5,11283500,34.929066
2016-10-05,38.225,38.257,38.152,36.599998,10254800,35.024757
2016-10-06,38.257,38.267,38.162,36.599998,7750600,35.024757
2016-10-07,38.267,38.361,38.152,36.68,8919500,35.101318
2016-10-10,38.309,38.507,38.309,36.82,3728100,35.235291
2016-10-11,38.434,38.434,38.194,36.610001,12513200,35.034332
2016-10-12,38.267,38.319,38.173,36.580002,6929600,35.005619
2016-10-13,38.1,38.215,38.037,36.529999,15478900,34.957771
2016-10-14,38.236,38.309,38.194,36.580002,6740400,35.005619
2016-10-17,38.277,38.309,38.162,36.57,9571700,34.996056
2016-10-18,38.33,38.382,38.246,36.689999,6607300,35.110889
2016-10-19,38.382,38.497,38.371,36.810001,5147800,35.225727
2016-10-20,38.466,38.518,38.413,36.799999,8788800,35.216152
2016-10-21,38.434,38.518,38.403,36.84,8810900,35.254433
2016-10-24,38.57,38.57,38.466,36.869999,3915900,35.283134
2016-10-25,38.497,38.539,38.455,36.849998,8703200,35.264
2016-10-26,38.392,38.497,38.33,36.68,7887700,35.101318
2016-10-27,38.403,38.403,38.142,36.529999,14109700,34.957771
2016-10-28,38.152,38.173,37.974,36.369999,16307100,34.804661
2016-10-31,38.006,38.037,37.839,36.259998,30648400,34.69939
2016-11-01,37.541,37.541,37.239,35.959999,14709100,34.589302
2016-11-02,37.343,37.343,37.115,35.75,26744300,34.387314
2016-11-03,37.219,37.312,37.156,35.759998,10566100,34.396935
2016-11-04,37.239,37.312,37.177,35.82,13494200,34.454639
2016-11-07,37.52,37.738,37.52,36.290001,15131100,34.906723
2016-11-08,37.583,37.697,37.551,36.23,18717700,34.849018
2016-11-09,37.416,37.78,37.385,35.990002,24460900,34.61816
2016-11-10,37.312,37.343,36.886,35.48,25387400,34.127602
2016-11-11,36.772,36.886,36.439,35.130001,15247700,33.790943
2016-11-14,36.449,36.855,36.439,35.389999,23581200,34.041035
2016-11-15,37.011,37.323,37,35.860001,17481100,34.493118
2016-11-16,37.104,37.187,37.084,35.720001,12972000,34.358452
2016-11-17,37.125,37.229,37.052,35.639999,10920200,34.281498
2016-11-18,37.094,37.198,37.011,35.619999,14390100,34.262264
2016-11-21,37.135,37.343,37.135,35.919998,9807200,34.550831
