"Date","TFI.Open","TFI.High","TFI.Low","TFI.Close","TFI.Volume","TFI.Adjusted"
2016-10-05,50.763,50.763,50.611,49.82,210200,49.011909
2016-10-06,50.621,50.621,50.53,49.709999,206900,48.903694
2016-10-07,50.519,50.57,50.479,49.709999,111200,48.903694
2016-10-10,50.509,50.56,50.469,49.689999,175300,48.884022
2016-10-11,50.489,50.489,50.357,49.540001,346400,48.73645
2016-10-12,50.367,50.367,50.316,49.5,171000,48.697102
2016-10-13,50.357,50.387,50.306,49.490002,183900,48.687263
2016-10-14,50.286,50.357,50.255,49.490002,260000,48.687263
2016-10-17,50.306,50.326,50.235,49.470001,260400,48.667591
2016-10-18,50.275,50.275,50.194,49.419998,133400,48.618397
2016-10-19,50.225,50.296,50.194,49.439999,175800,48.638069
2016-10-20,50.235,50.286,50.194,49.439999,90300,48.638069
2016-10-21,50.286,50.326,50.265,49.470001,96500,48.667591
2016-10-24,50.306,50.306,50.214,49.439999,131500,48.638069
2016-10-25,50.123,50.306,50.123,49.439999,298900,48.638069
2016-10-26,50.265,50.265,50.204,49.41,391000,48.608559
2016-10-27,50.235,50.235,50.123,49.330002,154300,48.529865
2016-10-28,50.143,50.245,50.123,49.43,282100,48.628235
2016-10-31,50.286,50.306,50.245,49.470001,225400,48.667591
2016-11-01,50.079,50.13,49.988,49.360001,322400,48.640984
2016-11-02,50.11,50.181,50.08,49.450001,242300,48.729668
2016-11-03,50.171,50.232,50.13,49.459999,192800,48.739525
2016-11-04,50.201,50.272,50.201,49.509998,106500,48.788795
2016-11-07,50.151,50.232,50.13,49.5,183500,48.778946
2016-11-08,50.191,50.252,50.171,49.450001,88000,48.729668
2016-11-09,50.029,50.029,49.684,48.959999,566200,48.246815
2016-11-10,49.643,49.714,49.369,48.860001,1423300,48.148266
2016-11-11,49.339,49.379,49.217,48.619999,575700,47.911758
2016-11-14,49.288,49.288,48.73,48.220001,2155700,47.51759
2016-11-15,48.994,49.085,48.841,48.169998,923000,47.468311
2016-11-16,48.75,48.821,48.659,48.07,773600,47.369778
2016-11-17,48.659,48.74,48.608,47.939999,606000,47.241661
2016-11-18,48.618,48.77,48.618,48.02,403400,47.320503
2016-11-21,48.872,48.872,48.598,47.889999,1060500,47.192394
2016-11-22,48.537,48.588,48.517,47.830002,947600,47.13327
2016-11-23,48.324,48.527,48.293,47.639999,1027600,46.946037
2016-11-25,48.324,48.425,48.324,47.669998,155100,46.975594
2016-11-28,48.344,48.446,48.253,47.599998,1141400,46.90662
2016-11-29,48.212,48.293,48.091,47.439999,999100,46.748947
2016-11-30,48.03,48.03,47.898,47.279999,1017600,46.591278
2016-12-01,47.71,47.71,47.518,47.02,773700,46.418518
2016-12-02,47.498,47.69,47.417,47.009998,708700,46.408646
2016-12-05,47.508,47.619,47.498,46.91,959600,46.309925
2016-12-06,47.781,47.832,47.65,47.18,891500,46.576469
2016-12-07,47.883,48.247,47.883,47.630001,840300,47.020718
2016-12-08,48.217,48.227,48.085,47.470001,871400,46.862766
2016-12-09,48.156,48.176,48.065,47.470001,778600,46.862766
2016-12-12,48.115,48.115,47.933,47.380001,1235100,46.773914
2016-12-13,47.943,48.085,47.923,47.41,762400,46.803528
2016-12-14,48.075,48.146,47.913,47.299999,532300,46.694935
2016-12-15,47.872,47.913,47.599,47.02,1009600,46.418518
2016-12-16,47.639,47.761,47.639,47.07,973500,46.467884
2016-12-19,47.7,47.943,47.7,47.169998,1264400,46.566601
2016-12-20,47.862,47.862,47.751,47.139999,816100,46.536983
2016-12-21,47.872,47.923,47.812,47.240002,598100,46.635704
2016-12-22,47.812,47.923,47.812,47.220001,1147200,46.615963
2016-12-23,47.872,47.994,47.72,47.360001,612200,46.754173
2016-12-27,47.943,48.034,47.893,47.34,902400,46.734428
2016-12-28,47.628,47.809,47.628,47.32,954000,46.885033
2016-12-29,47.82,47.84,47.729,47.34,896900,46.904846
2016-12-30,47.9,47.941,47.779,47.439999,908200,47.003925
2017-01-03,47.87,47.87,47.759,47.389999,441900,46.954388
2017-01-04,47.91,47.971,47.769,47.470001,683500,47.033649
2017-01-05,47.991,48.112,47.92,47.650002,583500,47.211998
2017-01-06,48.042,48.132,48.042,47.610001,322300,47.172367
2017-01-09,48.122,48.213,48.122,47.689999,759400,47.251629
2017-01-10,48.203,48.254,48.122,47.73,383000,47.29126
2017-01-11,48.193,48.324,48.173,47.860001,299200,47.420067
