"Date","VSS.Open","VSS.High","VSS.Low","VSS.Close","VSS.Volume","VSS.Adjusted"
2014-04-09,118.034,118.919,117.52,108.779999,71900,99.560493
2014-04-10,118.624,118.624,116.908,107.330002,62900,98.233391
2014-04-11,116.439,116.799,115.816,106.459999,43700,97.437134
2014-04-14,115.98,116.078,115.313,105.870003,44900,96.897148
2014-04-15,115.565,115.597,114.177,105.599998,62500,96.650017
2014-04-16,115.98,117.018,115.98,107.059998,154800,97.986282
2014-04-17,117.433,117.903,117.116,107.669998,35600,98.544586
2014-04-21,117.64,117.87,117.236,107.580002,34900,98.462219
2014-04-22,118.154,118.198,117.739,108.029999,97000,98.874062
2014-04-23,117.957,118.023,117.542,107.809998,66200,98.672707
2014-04-24,118.22,118.241,117.367,107.889999,658400,98.745949
2014-04-25,117.531,117.531,116.854,107.309998,38900,98.21508
2014-04-28,117.302,117.302,116.264,106.870003,59900,97.812393
2014-04-29,117.16,117.837,116.919,107.660004,109100,98.535439
2014-04-30,117.498,117.946,117.116,107.949997,45400,98.800858
2014-05-01,118.034,118.318,117.826,108,71600,98.846603
2014-05-02,118.307,118.744,118.056,108.669998,47500,99.459824
2014-05-05,118.307,118.635,118.012,108.57,37900,99.368294
2014-05-06,118.93,119.094,118.558,108.800003,43200,99.578827
2014-05-07,118.569,118.853,118.001,108.620003,43400,99.414085
2014-05-08,118.624,118.984,118.023,108.32,66100,99.139496
2014-05-09,118.241,118.241,117.531,107.900002,65200,98.755081
2014-05-12,118.405,118.733,118.285,108.650002,77000,99.441528
2014-05-13,118.624,118.646,118.252,108.449997,65400,99.258461
2014-05-14,118.46,118.504,118.012,108.019997,62400,98.864914
2014-05-15,117.477,117.782,116.471,106.849998,77500,97.794075
2014-05-16,116.504,116.646,115.98,106.760002,46800,97.711708
2014-05-19,116.46,116.602,116.155,106.709999,100700,97.665947
2014-05-20,116.428,116.602,115.597,106.120003,89900,97.125946
2014-05-21,116.417,116.887,116.089,106.980003,69500,97.913071
2014-05-22,117.302,117.444,116.897,107.419998,59100,98.315781
2014-05-23,117.509,117.979,117.509,107.769997,50900,98.636093
2014-05-27,118.897,118.897,118.252,108.650002,48200,99.441528
2014-05-28,118.886,118.952,118.493,108.800003,59300,99.578827
2014-05-29,119.039,119.367,118.897,109.239998,109900,99.981514
2014-05-30,119.52,119.618,119.268,109.389999,48800,100.118813
2014-06-02,119.531,119.935,119.41,109.730003,298700,100.43
2014-06-03,119.05,119.607,118.58,109.419998,74100,100.146263
2014-06-04,119.476,119.727,119.148,109.540001,31000,100.256096
2014-06-05,119.891,120.623,119.651,110.360001,44300,101.006592
2014-06-06,121.213,121.486,120.929,111.139999,116400,101.720482
2014-06-09,121.268,121.596,121.06,111.190002,48800,101.766258
2014-06-10,121.323,121.475,121.038,111.150002,46800,101.729637
2014-06-11,120.743,121.028,120.558,110.510002,50800,101.14389
2014-06-12,120.951,121.563,120.842,110.879997,27600,101.482529
2014-06-13,120.809,121.038,120.569,110.739998,35000,101.354401
2014-06-16,120.558,120.864,120.186,110.449997,121800,101.088989
2014-06-17,120.241,120.547,120.033,110.169998,37000,100.832695
2014-06-18,120.558,121.585,120.438,111.129997,30000,101.711342
2014-06-19,121.781,121.956,121.312,111.32,48500,101.885231
2014-06-20,121.738,121.749,121.432,111.32,56300,101.885231
2014-06-23,121.355,121.607,120.929,110.879997,141300,101.482529
2014-06-24,119.451,119.592,118.475,109.239998,55600,100.660591
2014-06-25,118.323,119.006,118.312,109.480003,48500,100.881737
2014-06-26,119.375,119.734,118.898,110.330002,40000,101.66497
2014-06-27,119.408,119.875,119.365,110.440002,38000,101.766342
2014-06-30,120.157,120.634,120.07,111.160004,135500,102.429787
2014-07-01,121.264,121.698,121.058,111.980003,87900,103.185394
