"Date","PSK.Open","PSK.High","PSK.Low","PSK.Close","PSK.Volume","PSK.Adjusted"
2013-04-04,59.699,59.712,59.607,45.599998,52700,34.846115
2013-04-05,59.62,59.686,59.568,45.599998,23400,34.846115
2013-04-08,59.699,59.725,59.581,45.57,77700,34.823189
2013-04-09,59.673,59.686,59.581,45.599998,144600,34.846115
2013-04-10,59.712,59.764,59.646,45.580002,96100,34.830841
2013-04-11,59.646,59.764,59.62,45.650002,89100,34.884335
2013-04-12,59.673,59.777,59.62,45.669998,69300,34.899612
2013-04-15,59.804,59.856,59.738,45.709999,101900,34.930176
2013-04-16,59.895,59.987,59.856,45.82,74300,35.014236
2013-04-17,60,60,59.908,45.84,84500,35.029526
2013-04-18,60.052,60.353,59.974,45.849998,87600,35.037163
2013-04-19,60.118,60.183,59.947,45.82,103600,35.014236
2013-04-22,60.052,60.052,59.856,45.75,90900,34.960747
2013-04-23,59.895,60,59.895,45.810001,63800,35.006592
2013-04-24,59.974,59.987,59.908,45.84,39400,35.029526
2013-04-25,60.052,60.052,59.961,45.84,90100,35.029526
2013-04-26,59.961,60.078,59.961,45.91,32000,35.083012
2013-04-29,60.131,60.262,60.118,46.049999,51600,35.189995
2013-04-30,60.301,60.353,60.248,46.099998,53500,35.228207
2013-05-01,60.327,60.379,60.235,46.09,31900,35.220566
2013-05-02,60.353,60.523,60.353,46.240002,43500,35.335182
2013-05-03,60.654,60.654,60.432,46.279999,30600,35.365757
2013-05-06,60.576,60.589,60.432,46.290001,103400,35.373398
2013-05-07,60.615,60.916,60.536,46.549999,614400,35.572083
2013-05-08,60.981,60.981,60.837,46.580002,98100,35.595009
2013-05-09,61.007,61.021,60.877,46.549999,91400,35.572083
2013-05-10,60.968,60.968,60.746,46.52,84500,35.549149
2013-05-13,60.85,60.929,60.733,46.43,68400,35.480381
2013-05-14,60.798,60.798,60.536,46.27,70100,35.358116
2013-05-15,60.641,60.654,60.327,46.119999,111200,35.243488
2013-05-16,60.392,60.445,60.327,46.18,41500,35.28933
2013-05-17,60.419,60.536,60.379,46.25,74400,35.342819
2013-05-20,60.471,60.562,60.458,46.27,63500,35.358116
2013-05-21,60.589,60.641,60.484,46.330002,104500,35.403957
2013-05-22,60.68,60.68,60.523,46.259998,51800,35.350471
2013-05-23,60.51,60.51,60.209,46.139999,120600,35.258778
2013-05-24,60.405,60.562,60.288,46.209999,59200,35.312263
2013-05-28,60.693,60.72,60.445,46.189999,50200,35.296982
2013-05-29,60.458,60.471,59.882,45.869999,68900,35.052444
