"Date","SCHH.Open","SCHH.High","SCHH.Low","SCHH.Close","SCHH.Volume","SCHH.Adjusted"
2016-11-14,39.688,40.79,39.463,39.82,614100,38.99958
2016-11-15,40.76,41.117,39.994,39.41,1235700,38.598026
2016-11-16,40.208,40.392,39.81,39.279999,527100,38.470703
2016-11-17,40.065,40.351,39.637,38.889999,503100,38.088741
2016-11-18,39.718,39.902,39.545,38.93,407500,38.127918
2016-11-21,39.851,40.157,39.545,38.790001,554700,37.990803
2016-11-22,39.729,40.28,39.677,39.400002,579800,38.588238
2016-11-23,39.708,40.117,39.637,39.279999,484900,38.470703
2016-11-25,40.259,40.545,40.168,39.459999,278700,38.646999
2016-11-28,40.3,40.739,40.3,39.709999,503100,38.891846
2016-11-29,40.566,41.107,40.566,40.049999,520700,39.224842
2016-11-30,40.566,40.811,40.27,39.700001,568900,38.882053
2016-12-01,40.341,40.443,39.729,39.130001,704300,38.323799
2016-12-02,40.127,40.719,40.127,39.5,1010100,38.686172
2016-12-05,40.443,40.668,40.168,39.810001,1050600,38.989784
2016-12-06,40.699,41.025,40.545,40.099998,1283700,39.273811
2016-12-07,41.015,41.771,40.954,40.869999,1165900,40.027943
2016-12-08,41.566,42.087,41.321,41.119999,834200,40.272797
2016-12-09,41.965,42.342,41.832,41.040001,534600,40.194447
2016-12-12,41.832,42.189,41.75,41.290001,546400,40.439293
2016-12-13,42.363,42.373,41.832,41.299999,496300,40.449085
2016-12-14,42.322,42.322,41.209,40.450001,961600,39.6166
2016-12-15,41.311,41.607,40.944,40.240002,666600,39.410931
2016-12-16,41.24,41.985,41.107,40.880001,851800,40.037739
2016-12-19,40.972,41.244,40.83,40.75,761600,40.400303
2016-12-20,41.113,41.335,40.921,40.84,581600,40.489529
2016-12-21,41.254,41.446,40.528,40.220001,589900,39.874851
2016-12-22,40.528,40.578,40.084,40.139999,684200,39.795536
2016-12-23,40.498,40.608,40.356,40.200001,389800,39.855022
2016-12-27,40.558,40.78,40.447,40.279999,896800,39.934334
