"Date","SCHA.Open","SCHA.High","SCHA.Low","SCHA.Close","SCHA.Volume","SCHA.Adjusted"
2012-06-06,36.445,37.03,36.401,34.16,168500,31.531221
2012-06-07,37.604,37.625,36.813,34,182100,31.38353
2012-06-08,36.737,37.257,36.499,34.349998,129200,31.706593
2012-06-11,37.723,37.723,36.38,33.580002,102800,30.995853
2012-06-12,36.531,36.9,36.271,34.049999,126200,31.42968
2012-06-13,36.845,37.008,36.315,33.610001,108500,31.02354
2012-06-14,36.455,36.943,36.39,33.98,142100,31.365061
2012-06-15,36.921,37.3,36.845,34.380001,79500,31.734285
2012-06-18,36.767,37.252,36.68,34.41,118200,31.876942
2012-06-19,37.263,37.922,37.252,34.990002,661900,32.414257
2012-06-20,37.792,37.976,37.447,34.970001,122900,32.395725
2012-06-21,37.673,37.749,36.756,34.110001,155200,31.599028
2012-06-22,36.982,37.263,36.81,34.450001,65200,31.914001
2012-06-25,36.615,36.756,36.432,33.91,160200,31.413755
2012-06-26,36.605,36.885,36.378,34.040001,111000,31.53418
2012-06-27,36.842,37.295,36.788,34.52,114100,31.978846
2012-06-28,36.972,37.285,36.734,34.52,118900,31.978846
2012-06-29,38.191,38.45,37.835,35.580002,149100,32.960812
2012-07-02,38.407,38.731,37.781,35.880001,166000,33.238739
2012-07-03,38.796,39.228,38.764,36.32,169300,33.646339
2012-07-05,39.228,39.379,38.99,36.360001,252300,33.683395
2012-07-06,38.893,38.936,38.645,35.93,106300,33.285049
2012-07-09,38.774,38.839,38.494,35.790001,122500,33.155357
2012-07-10,38.969,38.99,38.062,35.389999,142900,32.784809
2012-07-11,38.235,38.299,37.878,35.279999,95900,32.682907
2012-07-12,37.814,38.116,37.447,35.18,123500,32.590263
2012-07-13,38.116,38.548,38.116,35.619999,79200,32.997871
2012-07-16,38.397,38.504,38.159,35.490002,53800,32.877453
2012-07-17,38.504,38.602,37.976,35.599998,69700,32.979351
2012-07-18,38.353,38.882,38.353,35.84,108500,33.201675
2012-07-19,38.85,38.915,38.537,35.779999,87700,33.146103
2012-07-20,38.353,38.72,38.094,35.349998,120100,32.747746
2012-07-23,37.522,37.716,37.339,34.830002,182100,32.266022
2012-07-24,37.695,37.76,36.907,34.400002,245700,31.867678
2012-07-25,37.328,37.436,37.036,34.41,100400,31.876942
2012-07-26,37.706,37.889,37.349,34.790001,118700,32.22897
2012-07-27,37.716,38.569,37.63,35.610001,1022500,32.988617
2012-07-30,38.537,38.688,38.17,35.490002,104800,32.877453
2012-07-31,38.202,38.483,38.029,35.25,156300,32.655117
2012-08-01,38.289,38.299,37.511,34.75,147900,32.191921
2012-08-02,37.166,37.522,37.08,34.580002,136400,32.034435
2012-08-03,37.997,38.321,37.814,35.34,145800,32.738476
2012-08-06,38.235,38.58,38.17,35.560001,70900,32.942295
2012-08-07,38.742,39.033,38.634,35.91,267200,33.266521
2012-08-08,38.645,38.904,38.623,35.939999,115800,33.294315
2012-08-09,38.742,39.055,38.742,36.080002,73100,33.424007
2012-08-10,38.807,38.904,38.677,36.009998,717600,33.359161
2012-08-13,38.882,38.936,38.429,35.959999,120600,33.312851
2012-08-14,39.087,39.109,38.612,35.869999,93700,33.229465
2012-08-15,38.677,39.033,38.656,36.130001,87600,33.470337
2012-08-16,39.001,39.487,38.861,36.470001,97900,33.785309
2012-08-17,39.476,39.735,39.357,36.759998,652700,34.053955
2012-08-20,39.606,39.627,39.346,36.610001,62000,33.915001
2012-08-21,39.713,40.048,39.422,36.619999,102200,33.924259
2012-08-22,39.465,39.573,39.271,36.529999,96100,33.840878
2012-08-23,39.4,39.411,39.055,36.32,96600,33.646339
2012-08-24,39.077,39.433,38.99,36.41,83200,33.729721
2012-08-27,39.498,39.541,39.206,36.439999,125200,33.757511
2012-08-28,39.346,39.573,39.249,36.59,58300,33.896461
2012-08-29,39.584,39.757,39.433,36.709999,82300,34.007629
2012-08-30,39.4,39.476,39.217,36.41,169300,33.729721
2012-08-31,39.606,39.638,39.098,36.560001,88800,33.868679
2012-09-04,39.487,40.016,39.217,36.970001,101300,34.248501
2012-09-05,39.94,40.048,39.757,36.93,114100,34.211437
2012-09-06,40.145,40.782,40.145,37.619999,179400,34.850643
2012-09-07,40.793,40.987,40.674,37.889999,130200,35.100769
2012-09-10,40.901,40.987,40.717,37.740002,93600,34.961819
2012-09-11,40.771,41.009,40.739,37.799999,93800,35.017395
2012-09-12,41.009,41.052,40.771,38.02,112600,35.221199
2012-09-13,41.128,41.732,40.89,38.419998,181600,35.591751
2012-09-14,41.624,42.142,41.613,38.860001,172900,35.999363
2012-09-17,41.54,41.561,41.271,38.439999,187100,35.728889
2012-09-18,41.292,41.346,41.066,38.32,102100,35.617344
2012-09-19,41.335,41.357,41.109,38.290001,88400,35.589474
2012-09-20,41.002,41.056,40.754,38.060001,136500,35.375687
2012-09-21,41.314,41.389,41.045,38.150002,88300,35.459347
2012-09-24,40.937,41.131,40.765,38.029999,213900,35.347801
2012-09-25,41.185,41.185,40.238,37.450001,109700,34.80872
2012-09-26,40.335,40.421,39.851,37.189999,163500,34.567051
2012-09-27,40.249,40.582,40.023,37.599998,104500,34.948132
2012-09-28,40.346,40.442,40.109,37.43,248000,34.790119
2012-10-01,40.539,40.679,40.109,37.459999,106100,34.818008
2012-10-02,40.528,40.539,40.163,37.509998,58600,34.864471
2012-10-03,40.464,40.593,40.098,37.48,197700,34.836601
2012-10-04,40.518,40.636,40.195,37.75,88200,35.087547
2012-10-05,40.83,41.088,40.496,37.720001,91400,35.059673
2012-10-08,40.41,40.518,40.302,37.560001,103900,34.910957
2012-10-09,40.453,40.453,39.915,37.150002,59500,34.529865
2012-10-10,40.023,40.044,39.754,37.040001,88800,34.427624
2012-10-11,40.152,40.292,39.947,37.220001,65200,34.594936
2012-10-12,40.044,40.13,39.614,36.900002,74800,34.297508
2012-10-15,39.851,39.969,39.549,37.150002,106000,34.529865
2012-10-16,40.206,40.324,40.12,37.459999,499000,34.818008
2012-10-17,40.389,40.711,40.302,37.810001,146400,35.14333
2012-10-18,40.679,40.744,40.485,37.68,108200,35.022488
2012-10-19,40.27,40.346,39.657,37.009998,201300,34.399734
2012-10-22,39.721,39.861,39.539,36.98,113700,34.371864
2012-10-23,39.463,39.646,39.108,36.790001,237000,34.195267
2012-10-24,39.732,39.797,39.313,36.669998,100400,34.083717
2012-10-25,39.743,39.872,39.27,36.790001,89300,34.195267
2012-10-26,39.539,39.732,39.108,36.59,85900,34.009365
2012-10-31,39.42,39.614,39.259,36.790001,336400,34.195267
2012-11-01,39.689,40.227,39.635,37.34,237600,34.70647
2012-11-02,40.421,40.421,39.646,36.849998,88400,34.251034
2012-11-05,39.668,39.937,39.528,37.080002,146900,34.464813
2012-11-06,40.044,40.335,40.033,37.360001,95800,34.72506
2012-11-07,39.775,39.775,39.141,36.57,196900,33.990776
