"Date","MBG.Open","MBG.High","MBG.Low","MBG.Close","MBG.Volume","MBG.Adjusted"
2012-04-18,31.876,31.887,31.807,27.719999,1600,24.105938
2012-04-19,31.864,31.922,31.795,27.76,14100,24.140724
2012-04-20,31.841,31.841,31.772,27.639999,5400,24.036366
2012-04-23,31.818,31.899,31.795,27.65,8900,24.045061
2012-04-24,31.807,31.853,31.738,27.6,77200,24.001579
2012-04-25,31.807,31.807,31.726,27.59,11100,23.99288
2012-04-26,31.795,31.818,31.738,27.6,17100,24.001579
2012-04-27,31.795,31.807,31.726,27.620001,5600,24.018972
2012-04-30,31.83,31.83,31.738,27.610001,9300,24.010269
2012-05-01,31.769,31.769,31.769,27.65,1900,24.065111
2012-05-02,31.826,31.826,31.711,27.6,65000,24.021599
2012-05-03,31.769,31.792,31.723,27.67,7400,24.082518
2012-05-04,31.826,31.826,31.757,27.66,56900,24.073818
2012-05-07,31.826,31.849,31.78,27.66,40000,24.073818
2012-05-08,31.861,31.861,31.78,27.709999,59300,24.117331
2012-05-09,31.838,31.838,31.792,27.68,13000,24.091221
2012-05-10,31.838,31.838,31.723,27.68,46600,24.091221
2012-05-11,31.757,31.838,31.746,27.709999,2600,24.117331
2012-05-14,31.826,31.826,31.746,27.67,15100,24.082518
2012-05-15,31.826,31.826,31.746,27.66,38000,24.073818
2012-05-16,31.746,31.815,31.746,27.690001,17000,24.09992
2012-05-17,31.769,31.884,31.757,27.74,105100,24.143442
2012-05-18,31.872,31.872,31.757,27.700001,8200,24.108629
2012-05-21,31.734,31.849,31.734,27.65,7700,24.065111
2012-05-22,31.826,31.826,31.711,27.6,9300,24.021599
2012-05-23,31.815,31.826,31.711,27.6,9500,24.021599
2012-05-24,31.7,31.78,31.7,27.629999,2300,24.047701
2012-05-25,31.78,31.792,31.711,27.66,29200,24.073818
2012-05-29,31.792,31.792,31.711,27.66,5000,24.073818
2012-05-30,31.849,31.849,31.769,27.700001,47700,24.108629
2012-05-31,31.734,31.826,31.734,27.700001,7900,24.108629
2012-06-01,31.822,31.822,31.753,27.719999,17900,24.146954
2012-06-04,31.741,31.741,31.684,27.6,9800,24.042423
2012-06-05,31.753,31.753,31.718,27.639999,3900,24.077269
2012-06-06,31.73,31.73,31.684,27.6,1900,24.042423
2012-06-07,31.776,31.776,31.741,27.65,2700,24.085981
2012-06-08,31.799,31.799,31.73,27.65,6600,24.085981
2012-06-11,31.695,31.695,31.695,27.610001,200,24.05114
2012-06-12,31.81,31.81,31.764,27.68,12800,24.112114
2012-06-13,31.799,31.799,31.741,27.67,8400,24.103401
2012-06-14,31.776,31.776,31.776,27.68,200,24.112114
2012-06-15,31.718,31.718,31.718,27.629999,1600,24.068556
2012-06-18,31.799,31.81,31.787,27.709999,2700,24.138241
2012-06-19,31.799,31.799,31.787,27.690001,2200,24.120819
2012-06-20,31.787,31.787,31.776,27.68,3600,24.112114
2012-06-21,31.787,31.822,31.764,27.719999,2600,24.146954
2012-06-22,31.776,31.81,31.764,27.709999,2900,24.138241
2012-06-25,31.787,31.833,31.73,27.639999,1300,24.077269
2012-06-26,31.81,31.822,31.73,27.639999,5300,24.077269
2012-06-27,31.73,31.73,31.73,27.639999,0,24.077269
2012-06-28,31.845,31.879,31.764,27.67,13200,24.103401
2012-06-29,31.833,31.833,31.81,27.719999,2100,24.146954
2012-07-02,31.824,31.824,31.732,27.74,4700,24.180082
2012-07-03,31.801,31.801,31.732,27.66,6100,24.11035
2012-07-05,31.721,31.847,31.721,27.700001,9500,24.145218
2012-07-06,31.778,31.778,31.778,27.700001,0,24.145218
2012-07-09,31.893,31.904,31.801,27.809999,16500,24.241095
2012-07-10,31.893,31.893,31.847,27.76,500,24.19751
