"Date","VGIT.Open","VGIT.High","VGIT.Low","VGIT.Close","VGIT.Volume","VGIT.Adjusted"
2016-03-22,67.228,67.249,66.983,65.550003,121000,64.137848
2016-03-23,67.075,67.259,67.055,65.809998,50300,64.39222
2016-03-24,67.29,67.3,67.095,65.75,331600,64.333527
2016-03-28,67.187,67.3,67.177,65.769997,172000,64.353096
2016-03-29,67.279,67.555,67.279,66.099998,104300,64.67598
2016-03-30,67.474,67.606,67.412,66.150002,96000,64.724907
2016-03-31,67.617,67.79,67.566,66.300003,40700,64.871658
2016-04-01,67.568,67.588,67.455,66.150002,351600,64.80114
2016-04-04,67.598,67.629,67.506,66.190002,587400,64.840347
2016-04-05,67.752,67.762,67.649,66.360001,170500,65.006874
2016-04-06,67.721,67.731,67.578,66.25,152000,64.899124
2016-04-07,67.803,67.905,67.741,66.519997,87300,65.163597
2016-04-08,67.741,67.843,67.711,66.440002,82300,65.08522
2016-04-11,67.731,67.864,67.7,66.419998,89700,65.065628
2016-04-12,67.7,67.721,67.598,66.269997,67300,64.918694
2016-04-13,67.588,67.68,67.568,66.25,50700,64.899124
2016-04-14,67.547,67.609,67.496,66.150002,53100,64.80114
2016-04-15,67.588,67.731,67.568,66.309998,63100,64.957893
2016-04-18,67.598,67.639,67.578,66.260002,74800,64.90889
2016-04-19,67.568,67.609,67.486,66.169998,62000,64.820732
2016-04-20,67.537,67.609,67.292,65.980003,164300,64.634621
2016-04-21,67.231,67.323,67.18,65.889999,390300,64.546455
2016-04-22,67.251,67.292,67.19,65.889999,98700,64.546455
2016-04-25,67.19,67.353,67.149,65.779999,84200,64.43869
2016-04-26,67.129,67.18,67.047,65.699997,74900,64.360313
2016-04-27,67.2,67.333,67.119,65.949997,55300,64.605217
2016-04-28,67.292,67.507,67.282,66.129997,34500,64.781548
2016-04-29,67.415,67.547,67.364,66.110001,139100,64.761948
2016-05-02,67.225,67.286,67.143,65.919998,117100,64.659935
2016-05-03,67.408,67.49,67.388,66.139999,66400,64.875755
2016-05-04,67.47,67.541,67.388,66.25,50100,64.983635
2016-05-05,67.49,67.663,67.409,66.339996,92000,65.071915
2016-05-06,67.633,67.663,67.459,66.309998,160000,65.042488
2016-05-09,67.623,67.714,67.582,66.419998,514000,65.150406
2016-05-10,67.653,67.684,67.561,66.370003,142800,65.101341
2016-05-11,67.592,67.755,67.592,66.419998,135200,65.150406
2016-05-12,67.572,67.643,67.51,66.269997,64600,65.003235
2016-05-13,67.572,67.694,67.521,66.360001,34000,65.09153
2016-05-16,67.582,67.602,67.449,66.209999,130200,64.944405
2016-05-17,67.47,67.561,67.419,66.160004,43900,64.895348
2016-05-18,67.266,67.307,67.001,65.790001,107600,64.532425
2016-05-19,67.072,67.174,67.072,65.839996,56500,64.581482
2016-05-20,67.154,67.215,67.092,65.809998,37600,64.552055
2016-05-23,67.154,67.194,67.092,65.879997,47300,64.620705
2016-05-24,67.113,67.143,67.011,65.809998,60700,64.552055
2016-05-25,67.092,67.133,67.011,65.839996,111300,64.581482
2016-05-26,67.143,67.296,67.103,65.919998,270000,64.659935
2016-05-27,67.276,67.296,67.072,65.830002,90300,64.571655
2016-05-31,67.011,67.245,66.98,65.910004,62900,64.650146
2016-06-01,67.099,67.129,66.946,65.830002,67400,64.654068
2016-06-02,67.058,67.19,66.936,65.889999,116000,64.712982
2016-06-03,67.506,67.557,67.424,66.290001,25800,65.10585
2016-06-06,67.455,67.648,67.312,66.220001,88300,65.037102
2016-06-07,67.526,67.648,67.465,66.260002,75700,65.076393
2016-06-08,67.486,67.587,67.475,66.32,41300,65.135315
2016-06-09,67.648,67.689,67.547,66.379997,182300,65.194237
2016-06-10,67.71,67.791,67.679,66.519997,50800,65.331734
2016-06-13,67.811,67.893,67.74,66.669998,279000,65.479073
2016-06-14,67.903,68.015,67.811,66.629997,76600,65.439774
2016-06-15,67.811,68.117,67.506,66.800003,114300,65.606758
2016-06-16,68.147,68.219,67.984,66.779999,78300,65.587105
2016-06-17,68.015,68.066,67.872,66.690002,39500,65.498718
2016-06-20,67.76,67.791,67.71,66.5,54400,65.312096
2016-06-21,67.75,67.781,67.608,66.459999,50600,65.272804
2016-06-22,67.679,67.974,67.618,66.550003,44800,65.361198
2016-06-23,67.567,67.648,67.475,66.339996,263800,65.154953
2016-06-24,68.198,68.208,68.005,66.940002,112900,65.744247
2016-06-27,68.392,68.544,68.382,67.25,288900,66.048691
2016-06-28,68.443,68.524,67.465,67.209999,201100,66.009415
2016-06-29,68.392,68.422,68.249,67.029999,74500,65.832634
2016-06-30,68.3,68.432,68.3,67.190002,59400,65.989784
2016-07-01,68.357,68.459,68.225,67.18,127700,66.062546
2016-07-05,68.479,68.591,68.418,67.43,215800,66.308395
2016-07-06,68.55,68.571,68.438,67.330002,48100,66.210052
2016-07-07,68.347,68.52,68.337,67.300003,77100,66.18055
2016-07-08,68.418,68.52,68.347,67.349998,55500,66.229721
2016-07-11,68.337,68.428,68.225,67.139999,69200,66.023209
2016-07-12,68.093,68.164,67.971,66.889999,116500,65.777367
2016-07-13,68.184,68.215,68.093,67,123000,65.885544
2016-07-14,67.94,68.032,67.93,66.870003,110700,65.757706
2016-07-15,67.808,67.869,67.767,66.709999,83300,65.600372
2016-07-18,67.93,67.93,67.798,66.720001,145900,65.610184
2016-07-19,67.93,67.991,67.879,66.849998,91200,65.738029
2016-07-20,67.869,67.869,67.788,66.720001,59200,65.610184
2016-07-21,67.716,67.981,67.716,66.800003,49200,65.68885
2016-07-22,67.899,67.981,67.808,66.769997,43800,65.659348
2016-07-25,67.879,67.94,67.808,66.68,585200,65.570877
2016-07-26,67.91,67.91,67.788,66.760002,59900,65.649536
2016-07-27,67.92,68.062,67.899,66.93,46600,65.816696
2016-07-28,68.021,68.133,67.93,66.919998,49800,65.80687
2016-07-29,68.143,68.337,68.143,67.139999,63900,66.023209
2016-08-01,68.099,68.099,67.906,66.919998,117500,65.889305
2016-08-02,67.784,68.2,67.754,66.860001,132200,65.830231
2016-08-03,67.886,67.957,67.794,66.889999,43300,65.859756
2016-08-04,68.028,68.119,68.007,67.019997,58100,65.987747
2016-08-05,67.896,67.896,67.733,66.699997,92000,65.672684
2016-08-08,67.611,67.764,67.581,66.639999,54100,65.613625
2016-08-09,67.743,67.875,67.672,66.809998,39700,65.780983
2016-08-10,67.906,68.018,67.794,66.919998,81700,65.889305
2016-08-11,67.987,67.987,67.682,66.68,66400,65.653008
2016-08-12,67.967,68.028,67.855,66.860001,60500,65.830231
2016-08-15,67.825,67.865,67.733,66.75,87000,65.721916
2016-08-16,67.693,67.743,67.581,66.610001,554600,65.584091
2016-08-17,67.682,67.835,67.601,66.699997,98900,65.672684
2016-08-18,67.743,67.896,67.682,66.82,66500,65.790848
2016-08-19,67.743,67.774,67.642,66.650002,84700,65.623459
