"Date","ITR.Open","ITR.High","ITR.Low","ITR.Close","ITR.Volume","ITR.Adjusted"
2011-04-08,39.092,39.2,39.092,32.68,8200,27.244341
2011-04-11,39.176,39.236,39.104,32.700001,20600,27.261026
2011-04-12,39.236,39.368,39.224,32.82,9200,27.361065
2011-04-13,39.248,39.392,39.248,32.84,18500,27.377745
2011-04-14,39.356,39.404,39.236,32.799999,11800,27.344391
2011-04-15,39.404,39.524,39.356,32.950001,50900,27.469454
2011-04-18,39.5,39.572,39.416,32.970001,22200,27.486126
2011-04-19,39.56,39.632,39.536,32.990002,32800,27.502789
2011-04-20,39.572,39.572,39.476,32.98,14500,27.494448
2011-04-21,39.488,39.62,39.476,33.02,11700,27.527788
2011-04-25,39.584,39.62,39.536,33.02,15200,27.527788
2011-04-26,39.668,39.752,39.62,33.139999,36100,27.627829
2011-04-27,39.656,39.728,39.572,33.09,32100,27.586161
2011-04-28,39.764,39.776,39.668,33.110001,24900,27.602831
2011-04-29,39.764,39.812,39.704,33.189999,83000,27.669531
2011-05-02,39.492,39.624,39.492,33.040001,29000,27.625196
2011-05-03,39.552,39.648,39.528,33.099998,42000,27.675369
2011-05-04,39.648,39.684,39.612,33.169998,15000,27.7339
2011-05-05,39.719,39.767,39.648,33.240002,13400,27.792425
2011-05-06,39.696,39.779,39.636,33.25,13900,27.800787
2011-05-09,39.767,39.839,39.731,33.290001,22000,27.834227
2011-05-10,39.791,39.791,39.672,33.200001,25100,27.758984
2011-05-11,39.719,39.827,39.648,33.299999,13300,27.842604
2011-05-12,39.731,39.803,39.672,33.23,12000,27.784079
2011-05-13,39.791,39.839,39.755,33.279999,15800,27.825863
2011-05-16,39.815,39.839,39.755,33.310001,18800,27.85095
2011-05-17,39.887,39.911,39.767,33.330002,24300,27.867678
2011-05-18,39.863,39.863,39.719,33.259998,43500,27.809155
2011-05-19,39.648,39.815,39.648,33.290001,32100,27.834227
2011-05-20,39.803,39.851,39.731,33.32,16300,27.859314
2011-05-23,39.923,39.923,39.791,33.330002,660500,27.867678
2011-05-24,39.731,39.863,39.731,33.330002,15200,27.867678
2011-05-25,39.875,39.875,39.767,33.27,14200,27.817518
2011-05-26,39.875,39.911,39.803,33.369999,13000,27.901129
2011-05-27,39.887,39.935,39.887,33.389999,17700,27.917849
2011-05-31,39.863,39.995,39.803,33.439999,14900,27.959652
2011-06-01,39.824,39.871,39.788,33.43,18500,28.029234
2011-06-02,39.812,39.812,39.681,33.299999,22200,27.920248
2011-06-03,39.836,39.836,39.716,33.380001,21800,27.98732
2011-06-06,39.752,39.824,39.704,33.369999,27500,27.978935
2011-06-07,39.776,39.883,39.728,33.439999,14800,28.037624
2011-06-08,39.824,39.871,39.776,33.43,24900,28.029234
2011-06-09,39.871,39.871,39.692,33.299999,83200,27.920248
2011-06-10,39.752,39.824,39.716,33.34,24300,27.953783
2011-06-13,39.728,39.776,39.681,33.34,33300,27.953783
2011-06-14,39.645,39.681,39.549,33.209999,10700,27.844791
2011-06-15,39.669,39.848,39.633,33.400002,37900,28.004101
2011-06-16,39.812,39.848,39.728,33.389999,27000,27.995707
2011-06-17,39.8,39.919,39.8,33.419998,12400,28.020857
2011-06-20,39.859,39.907,39.812,33.439999,26900,28.037624
2011-06-21,39.824,39.895,39.752,33.380001,34500,27.98732
2011-06-22,39.871,39.895,39.728,33.41,48200,28.012478
2011-06-23,39.859,39.955,39.836,33.439999,24300,28.037624
2011-06-24,39.871,39.991,39.871,33.5,9400,28.087938
2011-06-27,39.931,39.931,39.776,33.41,35100,28.012478
2011-06-28,39.788,39.812,39.657,33.299999,15000,27.920248
2011-06-29,39.633,39.704,39.514,33.23,19400,27.861555
2011-06-30,39.657,39.657,39.478,33.220001,14300,27.853159
2011-07-01,39.341,39.377,39.258,33.07,31100,27.806925
2011-07-05,39.46,39.496,39.424,33.169998,20700,27.891012
2011-07-06,39.472,39.555,39.436,33.220001,38400,27.933052
2011-07-07,39.412,39.448,39.377,33.16,21200,27.882586
2011-07-08,39.65,39.662,39.567,33.310001,18300,28.008728
2011-07-11,39.627,39.722,39.46,33.380001,21400,28.067587
2011-07-12,39.722,39.734,39.615,33.389999,26700,28.075994
2011-07-13,39.686,39.805,39.662,33.450001,22100,28.12644
2011-07-14,39.674,39.734,39.627,33.330002,7500,28.025555
2011-07-15,39.615,39.769,39.603,33.43,21700,28.109642
2011-07-18,39.757,39.769,39.65,33.389999,20000,28.075994
2011-07-19,39.722,39.781,39.674,33.43,22600,28.109642
